user_id,cluster,cluster_name,churn,pv_count,cart_count,fav_count,buy_count,active_days,cat_breadth,recency
100,0,高价值忠诚用户,1,76.0,0.0,6.0,8.0,5.0,24.0,1.0
1000001,2,活跃潜力用户,0,22.0,0.0,0.0,0.0,3.0,7.0,0.0
1000011,1,早期沉睡用户,1,82.0,0.0,3.0,2.0,5.0,17.0,1.0
100002,2,活跃潜力用户,1,66.0,0.0,5.0,1.0,5.0,26.0,0.0
1000027,2,活跃潜力用户,0,1.0,1.0,0.0,1.0,2.0,3.0,1.0
1000028,2,活跃潜力用户,0,67.0,1.0,3.0,1.0,4.0,8.0,1.0
1000037,2,活跃潜力用户,0,31.0,0.0,0.0,3.0,4.0,17.0,0.0
1000054,2,活跃潜力用户,0,18.0,0.0,0.0,3.0,6.0,9.0,0.0
1000060,2,活跃潜力用户,0,11.0,6.0,0.0,0.0,4.0,13.0,0.0
1000061,2,活跃潜力用户,0,15.0,5.0,0.0,1.0,5.0,11.0,0.0
1000070,1,早期沉睡用户,1,26.0,5.0,0.0,1.0,5.0,5.0,0.0
1000084,0,高价值忠诚用户,0,105.0,11.0,5.0,5.0,6.0,43.0,0.0
1000085,0,高价值忠诚用户,0,83.0,11.0,0.0,11.0,6.0,36.0,0.0
100009,2,活跃潜力用户,0,13.0,0.0,0.0,0.0,1.0,1.0,1.0
1000103,2,活跃潜力用户,0,44.0,1.0,0.0,2.0,5.0,7.0,1.0
1000115,0,高价值忠诚用户,0,18.0,0.0,0.0,1.0,3.0,10.0,0.0
1000134,2,活跃潜力用户,0,5.0,1.0,0.0,2.0,3.0,4.0,2.0
1000135,1,早期沉睡用户,1,46.0,4.0,1.0,1.0,5.0,13.0,0.0
1000139,2,活跃潜力用户,0,3.0,0.0,0.0,0.0,2.0,2.0,2.0
1000151,2,活跃潜力用户,0,8.0,1.0,0.0,2.0,3.0,7.0,2.0
1000154,1,早期沉睡用户,1,106.0,1.0,2.0,1.0,4.0,31.0,0.0
1000165,2,活跃潜力用户,0,65.0,0.0,0.0,1.0,6.0,25.0,0.0
1000169,2,活跃潜力用户,1,46.0,2.0,0.0,1.0,5.0,15.0,0.0
1000186,2,活跃潜力用户,1,69.0,2.0,0.0,1.0,5.0,18.0,0.0
1000191,0,高价值忠诚用户,0,25.0,0.0,0.0,2.0,4.0,6.0,0.0
1000194,1,早期沉睡用户,1,81.0,6.0,0.0,1.0,6.0,40.0,0.0
1000204,1,早期沉睡用户,1,29.0,0.0,0.0,1.0,3.0,9.0,1.0
1000209,1,早期沉睡用户,1,103.0,14.0,0.0,3.0,5.0,22.0,0.0
1000222,0,高价值忠诚用户,1,59.0,16.0,0.0,6.0,6.0,20.0,0.0
1000228,0,高价值忠诚用户,1,283.0,12.0,0.0,5.0,6.0,42.0,0.0
1000236,2,活跃潜力用户,1,52.0,9.0,1.0,1.0,4.0,27.0,0.0
1000251,1,早期沉睡用户,1,133.0,4.0,0.0,3.0,5.0,32.0,1.0
1000263,2,活跃潜力用户,0,84.0,7.0,3.0,2.0,5.0,35.0,1.0
1000269,2,活跃潜力用户,0,3.0,1.0,1.0,1.0,2.0,2.0,0.0
1000274,1,早期沉睡用户,1,59.0,6.0,0.0,2.0,5.0,17.0,1.0
1000282,1,早期沉睡用户,1,39.0,0.0,2.0,1.0,5.0,8.0,1.0
1000283,1,早期沉睡用户,1,39.0,2.0,0.0,1.0,4.0,24.0,0.0
1000291,2,活跃潜力用户,1,35.0,2.0,0.0,2.0,5.0,16.0,0.0
1000296,2,活跃潜力用户,0,35.0,0.0,1.0,0.0,3.0,8.0,0.0
100030,1,早期沉睡用户,1,112.0,7.0,0.0,4.0,4.0,23.0,0.0
1000313,0,高价值忠诚用户,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1000317,1,早期沉睡用户,1,27.0,1.0,0.0,2.0,4.0,15.0,0.0
1000319,2,活跃潜力用户,0,11.0,2.0,0.0,0.0,4.0,6.0,0.0
1000328,2,活跃潜力用户,0,20.0,3.0,0.0,0.0,6.0,13.0,0.0
1000332,2,活跃潜力用户,0,101.0,3.0,1.0,0.0,4.0,29.0,0.0
1000335,0,高价值忠诚用户,0,22.0,6.0,0.0,5.0,3.0,17.0,0.0
1000349,0,高价值忠诚用户,0,194.0,11.0,0.0,6.0,6.0,33.0,0.0
1000364,1,早期沉睡用户,1,116.0,2.0,0.0,1.0,5.0,38.0,0.0
1000374,1,早期沉睡用户,1,83.0,4.0,1.0,3.0,4.0,32.0,0.0
1000398,2,活跃潜力用户,0,188.0,5.0,42.0,2.0,6.0,43.0,0.0
1000408,1,早期沉睡用户,1,155.0,15.0,0.0,3.0,6.0,39.0,0.0
1000417,0,高价值忠诚用户,0,352.0,40.0,3.0,9.0,6.0,89.0,0.0
1000420,1,早期沉睡用户,1,109.0,10.0,0.0,1.0,6.0,35.0,0.0
1000429,2,活跃潜力用户,0,50.0,4.0,0.0,1.0,6.0,12.0,0.0
1000436,0,高价值忠诚用户,0,211.0,7.0,57.0,5.0,6.0,38.0,0.0
1000438,0,高价值忠诚用户,0,15.0,3.0,0.0,0.0,3.0,7.0,3.0
1000455,1,早期沉睡用户,1,148.0,13.0,0.0,1.0,6.0,16.0,0.0
1000485,2,活跃潜力用户,1,24.0,2.0,0.0,1.0,4.0,11.0,0.0
1000488,0,高价值忠诚用户,0,123.0,6.0,0.0,9.0,6.0,34.0,0.0
1000490,2,活跃潜力用户,1,89.0,5.0,7.0,2.0,4.0,22.0,0.0
1000497,2,活跃潜力用户,1,90.0,4.0,0.0,1.0,6.0,7.0,0.0
1000504,2,活跃潜力用户,0,24.0,2.0,0.0,0.0,2.0,7.0,0.0
1000505,0,高价值忠诚用户,0,28.0,6.0,2.0,5.0,5.0,11.0,0.0
1000511,2,活跃潜力用户,0,4.0,0.0,2.0,1.0,2.0,4.0,0.0
1000519,1,早期沉睡用户,1,104.0,4.0,1.0,2.0,5.0,36.0,0.0
1000520,2,活跃潜力用户,0,110.0,5.0,0.0,1.0,5.0,23.0,0.0
1000538,2,活跃潜力用户,0,23.0,0.0,0.0,1.0,5.0,5.0,0.0
1000539,2,活跃潜力用户,0,71.0,1.0,0.0,0.0,5.0,16.0,0.0
1000541,2,活跃潜力用户,0,92.0,0.0,1.0,0.0,6.0,20.0,0.0
1000565,0,高价值忠诚用户,0,34.0,0.0,4.0,2.0,5.0,19.0,1.0
1000573,1,早期沉睡用户,1,72.0,0.0,0.0,2.0,3.0,14.0,1.0
1000581,1,早期沉睡用户,1,15.0,0.0,2.0,3.0,6.0,11.0,0.0
1000588,2,活跃潜力用户,0,19.0,0.0,0.0,0.0,4.0,11.0,1.0
100059,1,早期沉睡用户,1,25.0,1.0,0.0,1.0,3.0,8.0,0.0
1000590,2,活跃潜力用户,0,56.0,6.0,0.0,1.0,5.0,15.0,1.0
1000596,1,早期沉睡用户,1,59.0,6.0,0.0,3.0,6.0,27.0,0.0
1000610,2,活跃潜力用户,0,103.0,12.0,0.0,0.0,5.0,38.0,1.0
1000630,1,早期沉睡用户,1,57.0,12.0,0.0,3.0,4.0,31.0,1.0
1000636,0,高价值忠诚用户,0,116.0,7.0,0.0,6.0,6.0,66.0,0.0
1000641,0,高价值忠诚用户,1,105.0,1.0,0.0,7.0,6.0,27.0,0.0
1000647,1,早期沉睡用户,1,56.0,0.0,2.0,1.0,5.0,20.0,0.0
1000650,1,早期沉睡用户,1,13.0,0.0,0.0,1.0,3.0,9.0,0.0
1000659,2,活跃潜力用户,0,28.0,2.0,0.0,3.0,4.0,22.0,0.0
1000664,0,高价值忠诚用户,1,394.0,18.0,2.0,5.0,6.0,73.0,0.0
1000676,2,活跃潜力用户,0,14.0,1.0,0.0,1.0,4.0,10.0,0.0
100068,2,活跃潜力用户,1,116.0,9.0,12.0,4.0,6.0,41.0,0.0
1000684,0,高价值忠诚用户,0,128.0,0.0,15.0,8.0,5.0,29.0,0.0
1000686,2,活跃潜力用户,0,22.0,1.0,0.0,0.0,3.0,11.0,1.0
1000688,2,活跃潜力用户,0,33.0,0.0,0.0,0.0,2.0,22.0,3.0
1000694,2,活跃潜力用户,0,10.0,0.0,0.0,1.0,1.0,5.0,0.0
1000703,1,早期沉睡用户,1,35.0,2.0,2.0,2.0,6.0,21.0,0.0
1000712,1,早期沉睡用户,1,90.0,4.0,0.0,3.0,6.0,20.0,0.0
1000715,2,活跃潜力用户,0,57.0,6.0,0.0,2.0,6.0,27.0,0.0
1000718,2,活跃潜力用户,1,144.0,2.0,22.0,4.0,5.0,32.0,0.0
1000722,1,早期沉睡用户,1,14.0,0.0,0.0,1.0,4.0,7.0,1.0
1000723,0,高价值忠诚用户,0,62.0,2.0,0.0,4.0,4.0,28.0,0.0
1000727,2,活跃潜力用户,0,39.0,4.0,0.0,0.0,4.0,19.0,0.0
