user_id,R,F,M,cluster,cluster_name
100,6,8,8,0,高价值忠诚用户
1000001,1,1,1,2,活跃潜力用户
1000011,9,2,2,1,早期沉睡用户
100002,4,1,1,2,活跃潜力用户
1000027,1,2,2,2,活跃潜力用户
1000028,1,4,4,2,活跃潜力用户
1000037,3,5,4,2,活跃潜力用户
1000054,2,4,3,2,活跃潜力用户
1000060,3,1,1,2,活跃潜力用户
1000061,1,3,3,2,活跃潜力用户
1000070,6,1,1,1,早期沉睡用户
1000084,1,7,7,0,高价值忠诚用户
1000085,3,12,10,0,高价值忠诚用户
100009,2,2,2,2,活跃潜力用户
1000103,1,4,4,2,活跃潜力用户
1000115,1,7,5,0,高价值忠诚用户
1000134,2,3,2,2,活跃潜力用户
1000135,6,1,1,1,早期沉睡用户
1000139,1,2,2,2,活跃潜力用户
1000151,1,3,3,2,活跃潜力用户
1000154,8,1,1,1,早期沉睡用户
1000165,2,2,2,2,活跃潜力用户
1000169,4,1,1,2,活跃潜力用户
1000186,4,1,1,2,活跃潜力用户
1000191,2,5,5,0,高价值忠诚用户
1000194,5,1,1,1,早期沉睡用户
1000204,8,1,1,1,早期沉睡用户
1000209,6,3,3,1,早期沉睡用户
1000222,5,6,5,0,高价值忠诚用户
1000228,4,5,5,0,高价值忠诚用户
1000236,4,1,1,2,活跃潜力用户
1000251,6,3,3,1,早期沉睡用户
1000263,2,4,4,2,活跃潜力用户
1000269,1,3,3,2,活跃潜力用户
1000274,7,2,2,1,早期沉睡用户
1000282,7,1,1,1,早期沉睡用户
1000283,7,1,1,1,早期沉睡用户
1000291,4,2,2,2,活跃潜力用户
1000296,3,1,1,2,活跃潜力用户
100030,8,4,4,1,早期沉睡用户
1000313,1,5,5,0,高价值忠诚用户
1000317,8,2,2,1,早期沉睡用户
1000319,1,1,1,2,活跃潜力用户
1000328,1,1,1,2,活跃潜力用户
1000332,1,1,1,2,活跃潜力用户
1000335,1,8,8,0,高价值忠诚用户
1000349,2,8,6,0,高价值忠诚用户
1000364,6,1,1,1,早期沉睡用户
1000374,9,3,3,1,早期沉睡用户
1000398,1,4,4,2,活跃潜力用户
1000408,7,3,3,1,早期沉睡用户
1000417,1,11,11,0,高价值忠诚用户
1000420,6,1,1,1,早期沉睡用户
1000429,1,3,3,2,活跃潜力用户
1000436,1,7,7,0,高价值忠诚用户
1000438,1,8,3,0,高价值忠诚用户
1000455,6,1,1,1,早期沉睡用户
1000485,4,1,1,2,活跃潜力用户
1000488,1,19,18,0,高价值忠诚用户
1000490,4,2,2,2,活跃潜力用户
1000497,4,1,1,2,活跃潜力用户
1000504,3,1,1,2,活跃潜力用户
1000505,3,6,6,0,高价值忠诚用户
1000511,1,3,3,2,活跃潜力用户
1000519,7,2,2,1,早期沉睡用户
1000520,2,3,3,2,活跃潜力用户
1000538,1,2,2,2,活跃潜力用户
1000539,3,1,1,2,活跃潜力用户
1000541,2,1,1,2,活跃潜力用户
1000565,2,6,5,0,高价值忠诚用户
1000573,5,2,2,1,早期沉睡用户
1000581,5,3,3,1,早期沉睡用户
1000588,3,2,2,2,活跃潜力用户
100059,7,1,1,1,早期沉睡用户
1000590,1,2,2,2,活跃潜力用户
1000596,5,3,3,1,早期沉睡用户
1000610,1,4,4,2,活跃潜力用户
1000630,5,3,3,1,早期沉睡用户
1000636,3,8,8,0,高价值忠诚用户
1000641,4,7,6,0,高价值忠诚用户
1000647,8,1,1,1,早期沉睡用户
1000650,5,1,1,1,早期沉睡用户
1000659,3,4,4,2,活跃潜力用户
1000664,4,5,5,0,高价值忠诚用户
1000676,2,3,3,2,活跃潜力用户
